,1,2,3,4,5,6,7,8,9,10,11,12
0,3.818652615,3.005383598,2.618506342,2.376784805,2.23780103,2.111129336,2.022120671,1.959190426,1.903711792,1.85734632,1.811876968,1.782907587
0.005,3.84576488,3.022189907,2.635928395,2.395914276,2.248909772,2.131524189,2.037177636,1.975963631,1.921916923,1.876731612,1.834458198,1.803527612
0.01,3.87963416,3.029003358,2.647723955,2.411381373,2.266844265,2.157476745,2.058018992,1.999595679,1.943476897,1.904871825,1.86298821,1.829315547
0.015,3.929233932,3.046810682,2.671205685,2.430519577,2.287875792,2.179923515,2.083321533,2.020374577,1.967322464,1.927863757,1.893257726,1.858139368
0.02,3.975381441,3.063714931,2.687022484,2.447095478,2.307801202,2.196611999,2.104149888,2.04143708,1.989999706,1.954382316,1.918195228,1.885294874
0.025,4.033410826,3.080045659,2.703451193,2.468137453,2.323921811,2.215601521,2.129720515,2.063792987,2.013403814,1.978459278,1.943499685,1.912403811
0.03,4.084888559,3.101094336,2.723952815,2.490311447,2.342945705,2.233723505,2.14677459,2.08514591,2.03743348,2.00249404,1.968431505,1.93889882
0.035,4.143053746,3.1202591,2.742647837,2.508379836,2.362614548,2.252579441,2.166773205,2.108054215,2.059103506,2.025189682,1.994510842,1.9638116
0.04,4.190507098,3.13450203,2.761016463,2.522327774,2.380776665,2.273189399,2.18962392,2.128433039,2.081063921,2.047424139,2.019034631,1.989457056
0.045,4.245183471,3.154099242,2.77661983,2.539270163,2.399445635,2.292147696,2.20804093,2.149248903,2.102580951,2.067949984,2.041911569,2.013439032
0.05,4.310057378,3.174586128,2.79586301,2.556567728,2.418429329,2.307310273,2.227691129,2.171075721,2.123601194,2.089580655,2.06353658,2.037237924
0.055,4.358225568,3.188769753,2.812817278,2.578087526,2.440391317,2.325290477,2.245841849,2.188528483,2.141983297,2.11040409,2.087277763,2.059575381
0.06,4.421941188,3.204136341,2.832265233,2.591881902,2.455098696,2.341304188,2.267757394,2.211182982,2.161529663,2.130526906,2.106481831,2.078321953
0.065,4.469364979,3.221756457,2.849913059,2.608682599,2.471820193,2.359958292,2.287242545,2.230594792,2.181758672,2.150998065,2.126105388,2.101076371
0.07,4.534035569,3.239827683,2.867360379,2.62539392,2.490071283,2.376634091,2.310667736,2.249007576,2.200327157,2.172720535,2.145898174,2.123226126
0.075,4.599617929,3.258806921,2.881713087,2.645650392,2.51144393,2.397538293,2.327657043,2.265772182,2.220612405,2.191509809,2.164833483,2.14658046
0.08,4.661675054,3.276310628,2.899451932,2.66556006,2.528482692,2.414833907,2.345671926,2.283394647,2.238760321,2.209500129,2.184232178,2.167547215
0.085,4.731910168,3.290974733,2.918806132,2.682833685,2.546394572,2.432730722,2.361170723,2.302315882,2.256118716,2.227388971,2.203410164,2.188713256
0.09,4.809535478,3.310333184,2.931450711,2.697304633,2.563099763,2.452537178,2.378721909,2.320750873,2.27361766,2.248939277,2.222602077,2.209361578
0.095,4.876681116,3.322855682,2.940560939,2.712340786,2.57965122,2.471116242,2.395880959,2.34069102,2.290130162,2.269077745,2.242080887,2.224751358
0.1,4.933222815,3.333500519,2.956579555,2.727212306,2.59715651,2.487778942,2.41172588,2.356683538,2.309700913,2.289933942,2.259120431,2.240597505
0.105,4.998574622,3.355860194,2.976675927,2.744521543,2.616254903,2.502851147,2.42804327,2.373875729,2.324818948,2.30496483,2.2732231,2.255892677
0.11,5.062256964,3.366858337,2.991975245,2.760635846,2.630791279,2.519672537,2.441772382,2.392428401,2.34183559,2.323214781,2.29281023,2.27412781
