,1,2,3,4,5,6,7,8,9,10,11,12
0,2.681217476,2.317515253,2.09426148,1.957904983,1.858035175,1.794657702,1.732447977,1.6878009,1.642089844,1.61393018,1.591607751,1.566850136
0.005,2.729932009,2.337948428,2.122227498,1.986783473,1.893503357,1.825102187,1.772203504,1.727163225,1.687810193,1.663757709,1.638253088,1.617484896
0.01,2.806595357,2.360760814,2.146161496,2.020971837,1.930528662,1.86367713,1.815672087,1.771434416,1.742299301,1.716841266,1.694612031,1.677699578
0.015,2.887992517,2.385813539,2.181012528,2.057537551,1.971038776,1.907708629,1.859433113,1.820701104,1.790358801,1.767736791,1.75288339,1.741575204
0.02,2.972932204,2.417006999,2.215340887,2.087777222,2.001294413,1.94531561,1.898367229,1.865789808,1.838531466,1.821520445,1.808971131,1.800518732
0.025,3.050801029,2.442020961,2.240972295,2.117788236,2.045178592,1.987938803,1.947164139,1.915087826,1.889783638,1.878858033,1.863993458,1.860238905
0.03,3.130115319,2.473565395,2.271408726,2.156046445,2.079746942,2.027614567,1.993124562,1.96639789,1.94220102,1.931108981,1.925256822,1.922702312
0.035,3.225034273,2.507560254,2.301153091,2.192742878,2.12106711,2.068576193,2.036131032,2.013345056,1.996686781,1.986904226,1.983475945,1.986061591
0.04,3.304320195,2.525670481,2.330568532,2.223843772,2.157799653,2.111345787,2.078676334,2.05906595,2.050407315,2.04651618,2.042821705,2.050183724
0.045,3.407722154,2.554166896,2.364030073,2.259743991,2.19550591,2.151174239,2.122079992,2.101946946,2.103198949,2.102897754,2.10736016,2.115347858
0.05,3.507663691,2.574078412,2.391841073,2.291513142,2.234822932,2.193958854,2.164441062,2.15265141,2.154608688,2.157514714,2.165899684,2.179692291
0.055,3.623760021,2.60046474,2.425743423,2.326425587,2.275325131,2.236277273,2.212020803,2.205437742,2.202642606,2.218063606,2.229733523,2.248292879
0.06,3.746434028,2.626215946,2.456189019,2.362161918,2.317032568,2.282961291,2.26044075,2.254978712,2.255487503,2.277756363,2.29081178,2.319242287
0.065,3.868679002,2.656256413,2.483484246,2.394726914,2.35654272,2.325438157,2.30457507,2.306797125,2.313749282,2.33297705,2.354959764,2.382758463
0.07,3.99799026,2.685835682,2.515051869,2.432772629,2.396098873,2.36322462,2.346037379,2.356394837,2.368391015,2.388114207,2.41890663,2.449006257
0.075,4.126241762,2.710768219,2.551761048,2.467156029,2.43435609,2.403507573,2.394059834,2.404579161,2.41912558,2.450471771,2.48197914,2.518892661
0.08,4.26546113,2.742478915,2.580109086,2.506059822,2.466968585,2.444963188,2.439271785,2.456591599,2.469812996,2.505311048,2.5461958,2.581713679
0.085,4.382537772,2.768266366,2.611359697,2.542429655,2.503728051,2.484831422,2.486996922,2.507334515,2.524042047,2.561405691,2.609409356,2.655268095
0.09,4.527028675,2.790515249,2.642915157,2.578422692,2.542233446,2.528845179,2.536550383,2.561291731,2.578881564,2.619573453,2.674050291,2.72715193
0.095,4.679042278,2.816430706,2.673867841,2.613700997,2.579224616,2.564823473,2.58406871,2.612878977,2.63209545,2.684220082,2.739761664,2.801126134
0.1,4.837177707,2.845025437,2.704930975,2.651351477,2.611019017,2.606280724,2.628187947,2.66427772,2.691786272,2.747464732,2.813380742,2.873522892
0.105,4.979016475,2.874504509,2.732310612,2.683653303,2.649173309,2.651174006,2.678928051,2.713283066,2.743132569,2.812637584,2.876403045,2.957802632
0.11,5.129060225,2.901295289,2.76357138,2.720019131,2.690874422,2.695290082,2.722073302,2.765896668,2.807522856,2.880109396,2.952878211,3.046407226
0.115,5.282632675,2.929292058,2.795618288,2.754844429,2.728765188,2.740857374,2.769604992,2.824371519,2.873797828,2.937585696,3.032930923,3.141172827
0.12,5.401602123,2.961495477,2.823489546,2.787822991,2.76620277,2.785961967,2.81674381,2.876421945,2.935595969,3.0082339,3.115381461,3.246280129
0.125,5.539148537,2.987423893,2.855160975,2.818793818,2.802170539,2.83299589,2.864301099,2.927073837,2.994735619,3.08816253,3.206896865,3.353488211
0.13,5.663695869,3.013827777,2.889442623,2.856868309,2.84638101,2.877390468,2.914934805,2.987632922,3.057443427,3.170771889,3.301863661,3.472087096
0.135,5.812032702,3.035677325,2.917428428,2.893851612,2.887188055,2.915442702,2.963847106,3.037363119,3.120790093,3.247987706,3.408174156,3.619851655
0.14,5.960032446,3.05944217,2.949404877,2.930102406,2.920805864,2.957559547,3.011943334,3.097446959,3.19284831,3.334565452,3.520187624,3.806502426
0.145,6.149555339,3.089830155,2.976295975,2.960636285,2.959937854,3.002343492,3.064428957,3.156338039,3.262476229,3.438726443,3.653435012,4.018961445
0.15,6.326905581,3.118668773,3.010011316,2.997306792,2.996287126,3.049446453,3.111887736,3.211738307,3.333740571,3.539082221,3.815772529,4.27551633
0.155,6.431546709,3.140186822,3.037542262,3.032411617,3.038454174,3.091231963,3.167038136,3.275306194,3.41610091,3.647450126,3.982475468,4.57482005
0.16,6.608445766,3.172514836,3.071305636,3.072122397,3.077167396,3.136917994,3.224260199,3.338690206,3.506843262,3.762282856,4.180187362,4.949956477
0.165,6.752189129,3.198053874,3.10670911,3.107894889,3.12020898,3.189654161,3.284015134,3.409680073,3.603644527,3.886823786,4.435920154,5.634745454
0.17,6.883499016,3.220609205,3.142844766,3.142818351,3.164494198,3.236941577,3.342505344,3.481234244,3.702369357,4.040914592,4.724418212,6.756463563
0.175,7.050068016,3.247960145,3.172325927,3.176186945,3.201373875,3.276939577,3.403896021,3.566789161,3.813473088,4.233509443,5.110452957,9.415347107
0.18,7.197399217,3.286557909,3.20130785,3.209834836,3.24088816,3.32258734,3.468730337,3.648019422,3.944036991,4.456833172,5.658200443,26.57585367
0.185,7.323995515,3.315033624,3.23004009,3.248464099,3.279845944,3.371507527,3.52966501,3.737698672,4.086714173,4.703218505,6.566469754,36155.90684
0.19,7.423311557,3.340779057,3.260188922,3.289085679,3.325439831,3.419915944,3.597534077,3.827011952,4.245123577,5.022128962,8.38833695,165085.2783
0.195,7.591475417,3.365226179,3.290469649,3.315080706,3.370048846,3.471760591,3.657987047,3.931414563,4.412017058,5.385955227,12.63165073,352262.5468
0.2,7.739851252,3.389847497,3.316489929,3.342362914,3.411348,3.527559272,3.73085357,4.057887452,4.633591299,5.955853435,63.7974224,606921.5807
0.205,7.822967373,3.417599434,3.352146581,3.375043073,3.456248301,3.586597555,3.811639449,4.180449075,4.85219109,6.85630027,64393.25759,855004.9493
0.21,7.961172296,3.442912592,3.382599727,3.41113598,3.501869717,3.640199318,3.881357348,4.293345049,5.098622451,8.350180209,199690.8223,1116375.049
0.215,8.180989478,3.47671973,3.411614027,3.443637441,3.549709109,3.692418822,3.969867125,4.433832663,5.433987997,11.56137964,354246.3895,1362414.273
0.22,8.280298493,3.504744205,3.448910377,3.48207723,3.59562729,3.749622721,4.059692465,4.571794532,5.805884001,23.94966382,548678.8615,1596719.912
0.225,8.417188147,3.533119274,3.477903217,3.525715174,3.640547089,3.81864116,4.150150262,4.75303719,6.318357212,4700.544853,778464.4961,1811987.323
0.23,8.551539943,3.553683035,3.51143784,3.566218419,3.696244049,3.887272995,4.242639427,4.945103078,6.94207059,67088.37656,1027725.474,2056621.128
0.235,8.68165796,3.578303761,3.532355936,3.601440287,3.742585792,3.95143889,4.355775768,5.137433448,7.962134264,179443.4805,1215617.026,2234853.11
0.24,8.730785053,3.6014951,3.56924796,3.634504762,3.795818161,4.014828885,4.461270275,5.359211012,9.636374805,333647.2014,1450594.558,2417510.071
0.245,8.794852618,3.626028841,3.597288171,3.678031071,3.84680961,4.080999164,4.567071444,5.584857779,14.06264118,514621.2341,1659450.975,2574410.585
0.25,8.933791325,3.661027829,3.625892896,3.713591635,3.899157339,4.157159185,4.686281837,5.889263137,30.93035209,711502.947,1869484.485,2763846.388
0.255,8.986447728,3.684656929,3.660231547,3.744335507,3.952257792,4.224534004,4.811402625,6.281898095,5644.399945,921786.3558,2044591.031,2970910.764
0.26,9.089705088,3.711241678,3.693430845,3.784291836,3.989382182,4.28404763,4.936597854,6.723018607,55427.83232,1114249.978,2261992.316,3116430.574
0.265,9.188401112,3.739789369,3.724441335,3.823492278,4.044635549,4.373011156,5.088861587,7.375435441,148422.1575,1296209.216,2455205.802,3280976.724
0.27,9.347595674,3.763710317,3.757741783,3.864224353,4.095359346,4.467489502,5.261983909,8.236528984,282001.6986,1468033.655,2608437.254,3442294.724
0.275,9.511414442,3.783644802,3.784899082,3.903564205,4.143461774,4.549303595,5.473863247,9.672115415,418705.3816,1676484.784,2788300.587,3568766.349
0.28,9.661505189,3.807174417,3.80616024,3.934087452,4.201284785,4.639766015,5.705718558,12.05443126,576311.9909,1908702.001,2983070.767,3680234.019
0.285,9.746573115,3.832111407,3.833356212,3.972864736,4.244651454,4.734296725,5.913234755,17.91341373,808236.5471,2141901.645,3196660.433,3826845.894
