,1,2,3,4,5,6,7,8,9,10,11,12
0,4.968371209,3.699660082,3.119835285,2.807590197,2.585014547,2.422668705,2.305929925,2.21422088,2.139673121,2.078580004,2.0294579,1.982337473
0.005,5.103309784,3.7400092,3.169177125,2.854983774,2.637702597,2.453495443,2.349445978,2.266373409,2.19954811,2.12820095,2.077576114,2.041506224
0.01,5.269167462,3.765701354,3.217171098,2.877384283,2.688398763,2.50910872,2.394277092,2.305137549,2.256014272,2.187011687,2.146454219,2.109711775
0.015,5.419611243,3.831150471,3.250975232,2.932915392,2.728711147,2.554743771,2.444866313,2.371571559,2.311499831,2.247617136,2.207320048,2.169968262
0.02,5.575194844,3.872043237,3.299001343,2.977892466,2.773541144,2.605252196,2.501744041,2.432262851,2.371584055,2.324235358,2.279045968,2.239810695
0.025,5.717086387,3.905826409,3.334783851,3.021519539,2.815696177,2.655005243,2.5570017,2.482488998,2.434792139,2.378330486,2.345756555,2.308199468
0.03,5.895742417,3.944957751,3.376964278,3.057881854,2.859244129,2.70634743,2.616480291,2.541314366,2.48748338,2.432254444,2.405192874,2.370124023
0.035,6.084796113,3.999615464,3.412118149,3.121702849,2.89950056,2.749337735,2.658982392,2.593409079,2.541742591,2.491622065,2.458050193,2.430636767
0.04,6.264517478,4.028772408,3.458006304,3.158835047,2.945825961,2.793991366,2.712990834,2.642491413,2.592671549,2.555111953,2.52668374,2.501650616
0.045,6.49349523,4.069057266,3.513973372,3.205053378,2.984281828,2.840834362,2.764984437,2.689732101,2.64650685,2.610644032,2.581924582,2.556913838
0.05,6.688946495,4.105953442,3.553280016,3.251957304,3.033636991,2.891155264,2.81512342,2.745329232,2.704117584,2.661892891,2.635775804,2.613207233
0.055,6.944825975,4.155557304,3.594004582,3.298806769,3.080994529,2.926748082,2.860995733,2.802258055,2.75577661,2.712571872,2.693338116,2.669406549
0.06,7.201496989,4.194947911,3.635283643,3.345980465,3.116485469,2.979203403,2.902341234,2.849405939,2.808607278,2.771064307,2.751723408,2.725631099
0.065,7.470315174,4.232530894,3.672519681,3.386043159,3.159657078,3.028936899,2.945826333,2.89326874,2.861628687,2.827481109,2.813573634,2.788225944
