,1,2,3,4,5,6,7,8,9,10,11,12
0,6.639488672,4.618020504,3.825838903,3.321193541,3.038974279,2.82030851,2.667998689,2.521365842,2.443637982,2.361958262,2.285860557,2.214338325
0.005,6.786885656,4.763019476,3.924784631,3.480540334,3.187431676,2.968008387,2.807743251,2.701276146,2.620516936,2.537283207,2.47980592,2.421016728
0.01,6.933544497,4.925574172,4.116981655,3.666313245,3.376388689,3.155603057,3.020464942,2.929821505,2.869915351,2.817220246,2.770083422,2.730803901
0.015,7.099553704,5.143605241,4.296859889,3.850129231,3.572057612,3.390535366,3.291717765,3.192706865,3.16629234,3.110737473,3.1065446,3.076832292
0.02,7.271637614,5.291409556,4.485439774,4.055012559,3.813392339,3.646242619,3.574244298,3.526884462,3.48385726,3.484442518,3.498709291,3.501378039
0.025,7.438101077,5.508841196,4.670480975,4.283403875,4.05988347,3.91282888,3.867597235,3.889099715,3.860499338,3.905035366,3.961571128,4.019464706
0.03,7.642029858,5.721908341,4.868439663,4.525811651,4.327030504,4.229316398,4.231645702,4.273407918,4.309789719,4.421220049,4.565603687,4.689912315
0.035,7.79354564,5.922151397,5.072596624,4.77633164,4.624370232,4.551854594,4.627400068,4.761596079,4.881563396,5.057785207,5.258462108,5.507570127
0.04,8.010257917,6.154888036,5.364863062,5.073611575,4.924839668,4.912107379,5.064764309,5.30664573,5.544163563,5.855681268,6.193567799,6.544641726
0.045,8.22627116,6.423584819,5.614123005,5.427386856,5.338799682,5.333880267,5.559763119,5.912971322,6.283223543,6.855145788,7.278859246,7.91771465
0.05,8.406845142,6.690150594,5.925212438,5.782212756,5.742566172,5.841666901,6.203380686,6.635270658,7.204129948,7.999951916,8.78244111,9.908525502
0.055,8.658074768,6.947476972,6.251823488,6.148539929,6.217809713,6.388247523,6.931110002,7.566741756,8.363139443,9.547804597,10.92754863,12.74727514
0.06,8.975931002,7.177256005,6.628556471,6.587250157,6.709139928,7.050859669,7.798956467,8.695096107,9.856156018,11.50489991,13.63911557,16.79154793
0.065,9.233112374,7.498950343,6.993540227,7.018780279,7.289794754,7.814093365,8.758597123,9.972029437,11.70860012,13.91806623,17.67123267,22.57713236
0.07,9.549675378,7.761311062,7.326715572,7.510223308,7.91092568,8.719093615,9.905371024,11.65094887,14.06371975,17.64489813,23.80133892,32.40792629
0.075,9.825967015,8.08146401,7.761568637,8.047132092,8.686156837,9.747777632,11.20700551,13.86152019,17.16223327,22.75319434,32.32941724,48.17927305
0.08,10.1439987,8.498085557,8.234525264,8.647925274,9.56429967,10.9476791,13.030734,16.52471485,21.30952957,30.59089228,46.25573607,75.02996857
0.085,10.46714081,8.813767421,8.731139216,9.362198563,10.58007015,12.16896003,15.15253823,19.99234669,27.2002259,41.36592716,68.93526158,127.0019151
0.09,10.79815161,9.217351949,9.280277941,10.08690424,11.58803315,13.72408433,17.66519234,24.14226232,35.5845314,58.55032009,105.0360514,227.607788
0.095,11.07858285,9.456598244,9.773265354,10.83478886,12.75897633,15.70585959,20.80417317,29.44672841,46.1944049,82.37750082,173.7724847,450.6154216
0.1,11.37853061,9.856168614,10.3404051,11.68447577,14.23256527,18.03044834,25.01837757,37.32609631,62.33265048,124.8768921,303.8894976,929.8410939
0.105,11.72428663,10.29305094,10.88924464,12.86179357,15.76415244,21.03412918,30.02636654,48.62945742,86.21002084,194.6043241,554.8095881,2065.639266
0.11,12.13785565,10.71759242,11.5575695,13.93785407,17.58884369,24.40200815,36.59916599,63.19006747,121.6205031,315.4079376,1091.386141,4889.432939
0.115,12.3871758,11.17059455,12.24127278,15.22601264,19.91022491,28.17888432,45.22838032,83.92662677,184.181961,523.8389258,2117.343251,13227.63851
0.12,12.78686049,11.67108529,13.04223469,16.5453693,22.15406731,32.92573399,55.74562105,112.2237952,282.3653904,887.3897267,4342.816648,68802.69267
0.125,13.18031147,12.23502079,13.86466908,18.18280277,24.82733189,39.1175589,69.71498199,151.5009327,427.3287561,1596.391998,9587.321871,2678680.444
0.13,13.46035891,12.78535355,14.85243437,19.83606526,28.4349528,46.40231852,90.07939033,209.6714175,678.3058227,2931.13303,23873.08075,6016972.939
0.135,13.77450143,13.31085832,15.90624232,22.09933658,32.31917919,56.01441891,115.9660393,297.4351265,1035.93579,5420.059528,476086.3082,9218575.404
0.14,14.20475914,14.0082642,16.97419264,24.21088648,37.69673452,67.39384102,150.9200867,422.8103242,1700.730659,10502.86206,3434498.325,11899931.16
0.145,14.54414096,14.61755954,18.03463203,26.70138601,43.38988167,83.57365319,198.9669655,615.0667956,2798.044219,21899.74316,6920619.855,13862543.17
0.15,15.04654282,15.37270905,19.23936134,29.52778547,50.03793176,102.5475986,256.3667884,870.0625718,4751.269265,99082.80961,9771361.317,15028344.85
0.155,15.38234378,16.00159242,20.66219205,32.68445875,58.92743055,125.6110327,338.8262758,1281.238206,8194.357182,1979838.522,12378159.46,16186096.33
0.16,15.79987179,16.90806408,22.26927036,36.09199258,67.61971021,155.578431,467.2507705,1976.831813,14503.07863,4760155.106,14094203.54,17135490.3
0.165,16.20074525,17.62614287,23.88582729,40.27738479,78.48006277,190.195392,631.7943326,2986.943228,26034.68145,7372339.496,15665539.01,18319595.62
0.17,16.73959115,18.45690154,25.84892134,45.5716392,91.35154562,236.7614373,848.7181635,4426.603825,69481.71794,10118116.3,17003729,19504664.66
0.175,17.28976783,19.31673772,27.92784812,50.79155258,107.7684263,292.7540917,1146.344573,6668.061472,1289056.258,12795930.59,18075930.13,20994989.27
0.18,17.84991578,20.25331776,29.98724517,56.41257524,125.7204169,370.8431182,1584.19071,9902.262757,3628227.754,14937981.45,19146309.62,21737412.65
0.185,18.32879523,21.25836909,32.29479356,62.12810804,148.8001346,465.6709717,2166.71648,15569.6665,6154581.369,16519435.01,20060929.53,22225730.92
0.19,18.91453484,22.6732323,34.71789193,69.24150493,175.402928,572.6249003,2906.97115,24882.03292,8485475.472,17883844.31,20971273.31,22655944.91
0.195,19.58861496,23.78308078,37.54029569,77.66480997,206.3749202,732.1694195,4052.878886,45725.08619,11078794.62,19148446.72,22018742.91,23147859.14
0.2,20.38492719,24.91002831,39.90989052,86.79006416,241.8274332,935.2277255,5550.811601,141261.4398,13379513.96,20001751.5,23022538.3,24199016.81
0.205,20.96093947,26.21072605,42.91226487,100.0928705,287.9876362,1190.407306,7618.098085,1607580.283,15474433.05,20994101.22,23911178.92,25355701.39
