,1,2,3,4,5,6,7,8,9,10,11,12
0,4.968371209,3.699660082,3.119835285,2.807590197,2.585014547,2.422668705,2.305929925,2.21422088,2.139673121,2.078580004,2.0294579,1.982337473
0.005,5.122777064,3.822798379,3.262039189,2.935699745,2.749624215,2.57325871,2.467857178,2.404488351,2.338751641,2.285830536,2.24624141,2.207607653
0.01,5.25584023,3.99063596,3.443549191,3.114570263,2.948853783,2.795516373,2.711982974,2.64310877,2.601274608,2.585603462,2.577420895,2.570410246
0.015,5.41930201,4.131346806,3.613405699,3.325830682,3.152521811,3.046960979,2.979999448,2.988476127,2.96738856,2.993883963,3.032279427,3.066505488
0.02,5.557574746,4.30092926,3.803212191,3.548712191,3.410263188,3.363657222,3.352107193,3.383672334,3.465026977,3.542630522,3.668381851,3.832847107
0.025,5.706129928,4.484086201,4.026436866,3.800409291,3.712818631,3.727318113,3.788142347,3.908200986,4.088087665,4.347053744,4.759366174,5.325661628
0.03,5.893518036,4.686018079,4.282676786,4.117148636,4.10733335,4.194618697,4.410643024,4.717317043,5.281307369,6.227824068,8.831352126,68.49415464
0.035,6.043482071,4.90747082,4.54454103,4.463514225,4.553188453,4.782028266,5.268933233,6.225470633,8.655153555,44.7204034,2178508.477,4974661.293
0.04,6.20036109,5.162809574,4.86747701,4.869651699,5.157265148,5.710609063,7.201747188,12.67428652,1016879.102,4705472.135,7998175.271,10052675.26
0.045,6.39045053,5.451768361,5.213621352,5.415988946,5.963568069,7.43344623,13.5515254,1230474.256,6052549.104,9449893.76,11868377.72,13177165.21
0.05,6.613976796,5.739850108,5.608719027,6.051464783,7.348777136,12.14944816,967353.1094,6729694.248,10892071.77,13481977.44,14855132.51,15278864.01
0.055,6.808677307,6.105274733,6.107272587,6.994795128,9.684684859,29100.8454,5760085.916,10967788.88,14370559.89,16049250.76,16727180.56,17016270.32
0.06,7.072024878,6.467687887,6.746036452,8.605303747,18.70846116,3711451.221,11050327.28,15211544.7,17386866.03,18083316.46,18465234.06,18624523.75
0.065,7.341661304,6.92034744,7.564868281,10.96193796,227455.4423,8535751.486,15198919.45,17930161.84,19352047.3,19495074.58,19941476.7,19613030.38
0.07,7.609083719,7.337360646,8.557451127,17.30172957,4438770.809,13174634.64,18611502.86,20682959.68,21260447.71,21351486.12,21274056.51,20839980.3
0.075,7.898144144,7.741604308,10.11146304,66.45497577,9035920.943,17745667.94,21532796.55,22205191.49,22537545.96,22612579.04,22403421.49,21734601.26
0.08,8.161790108,8.377032484,12.26761278,1381512.42,13991604.23,21194748.84,23892770.68,24001452.33,24097186.29,23928791.62,23215730.93,22621301.15
0.085,8.52640573,9.08225683,15.90153198,5174160.689,18531188.58,24156878.95,25801497.08,25510674.84,25277869.56,24739191.99,24036824.61,23327156.4
0.09,8.818266525,9.907863641,24.35041297,10752309.33,22674400.59,27006334.9,27821556.24,27211871.4,26524488.08,25747527.49,25070132.93,24198473.1
0.095,9.217515167,10.89870311,63.07991949,15596750.19,26792962.04,29289530.45,29075464.53,28376255.99,27450601.5,26547150.14,25816781.4,24600524.87
0.1,9.540600396,11.95972023,481218.3092,20705790.15,29929131.21,31545643.03,30667643.17,29440020.59,28345654.55,27219041.65,26277203.8,24983090.37
0.105,9.932195715,13.37073779,3507740.904,25591843.45,32748903.45,33196084.69,32047166.13,30344704.81,29084865.8,28064151.45,26815447.43,25620393.85
0.11,10.35885819,15.39303275,8450076.612,29771164.66,34663867.68,34796017.64,32893199.9,31299912.49,29783521.45,28562373.7,27273142.15,26016267.89
0.115,10.87473424,17.72022132,12814142.67,33829849.82,37186633.28,36236543.75,33950995.22,32375311.25,30423452.67,29191906.52,27830469.5,26581922.23
0.12,11.2645684,21.54163487,18966520.9,37482526.12,40123960.99,37995880.78,34783200.61,33429058.94,31206720.5,29756895.27,28439963.46,27176954.55
0.125,11.76596808,27.19628004,24197857.54,40631333.86,42298378.44,39135760.64,35899092.1,34506597.21,32055930.22,30440518.81,28908274.46,27514135.35
0.13,12.30450044,40.38684436,30977142.15,45173425.99,44352049.2,41012164.51,37406177.28,35395710.3,32909907.28,30876604.16,29355108.33,27902176.5
0.135,12.97250165,66.79927834,36285498.98,47627914.34,45629887.99,41874287.33,38318947.51,35976808.49,33511364.82,31136130.05,29697703.87,28178108.12
0.14,13.52527669,286.3030984,40511645.13,50212166.23,47004797.08,43451022.7,39290678.64,36481082.81,34098926.76,31730952.14,30121715.02,28561216.81
0.145,14.07610326,535259.8353,45521784.54,52251766.93,48646802.36,44437307.79,40402458.46,37197725.7,34795103.2,32368915.45,30575039.78,29024107.75
0.15,14.64377151,3137575.832,49756354.15,55584475.85,50340115.26,45396222.97,41438425.97,37905775.69,35217149.93,32790467.12,30896105.14,29212500.97
0.155,15.11482652,7404585.112,54437121.99,58646982.91,51943465.23,46469999.01,42515075.3,38275078.65,35710547.29,33331426.84,31292272.82,29457123.6
0.16,15.78539989,11674175.83,57437264.02,60004740.07,52980920.27,47329515.9,43163787.96,38962882.51,36179631.93,33823383.77,31481953.87,29466747.36
0.165,16.39544505,16022855.3,62206493.33,62112346.13,54126636.56,48373630.44,43822491.1,39936910.91,36851845.67,34345010.87,31787098.51,29720614.15
0.17,17.12355022,22099716.11,65430460.17,63549174.81,55362700.93,49230346.09,44683351.84,40152314.1,37278731,34512594.69,32223836.45,30025707.75
0.175,17.66156734,29861023.89,68833837.3,65813343.36,56692488.65,50165781.3,45219406.58,40900707.56,37830461.87,34712200.52,32562288.68,30263351.04
